date,day,day_suffix,day_of_week,day_of_year,week_of_year,week_of_month,month,month_name,quarter,quarter_name,year
19000625,25,Mon,1,25,26,9,06,June,2,Q2,1900
19000626,26,Tue,2,26,26,9,06,June,2,Q2,1900
19000627,27,Wed,3,27,26,9,06,June,2,Q2,1900
19000628,28,Thu,4,28,26,10,06,June,2,Q2,1900
19000629,29,Fri,5,29,26,10,06,June,2,Q2,1900
19000630,30,Sat,6,30,26,10,06,June,2,Q2,1900
19000701,01,Sun,0,1,26,1,07,July,3,Q3,1900
19000702,02,Mon,1,2,27,1,07,July,3,Q3,1900
19000703,03,Tue,2,3,27,1,07,July,3,Q3,1900
19000704,04,Wed,3,4,27,2,07,July,3,Q3,1900
19000705,05,Thu,4,5,27,2,07,July,3,Q3,1900
19000706,06,Fri,5,6,27,2,07,July,3,Q3,1900
19000707,07,Sat,6,7,27,3,07,July,3,Q3,1900
19000708,08,Sun,0,8,27,3,07,July,3,Q3,1900
19000709,09,Mon,1,9,28,3,07,July,3,Q3,1900
19000710,10,Tue,2,10,28,4,07,July,3,Q3,1900
19000711,11,Wed,3,11,28,4,07,July,3,Q3,1900
19000712,12,Thu,4,12,28,4,07,July,3,Q3,1900
19000713,13,Fri,5,13,28,5,07,July,3,Q3,1900
19000714,14,Sat,6,14,28,5,07,July,3,Q3,1900
19000715,15,Sun,0,15,28,5,07,July,3,Q3,1900
19000716,16,Mon,1,16,29,6,07,July,3,Q3,1900
19000717,17,Tue,2,17,29,6,07,July,3,Q3,1900
19000718,18,Wed,3,18,29,6,07,July,3,Q3,1900
19000719,19,Thu,4,19,29,7,07,July,3,Q3,1900
19000720,20,Fri,5,20,29,7,07,July,3,Q3,1900
19000721,21,Sat,6,21,29,7,07,July,3,Q3,1900
19000722,22,Sun,0,22,29,8,07,July,3,Q3,1900
19000723,23,Mon,1,23,30,8,07,July,3,Q3,1900
19000724,24,Tue,2,24,30,8,07,July,3,Q3,1900
19000725,25,Wed,3,25,30,9,07,July,3,Q3,1900
19000726,26,Thu,4,26,30,9,07,July,3,Q3,1900
19000727,27,Fri,5,27,30,9,07,July,3,Q3,1900
19000728,28,Sat,6,28,30,10,07,July,3,Q3,1900
19000729,29,Sun,0,29,30,10,07,July,3,Q3,1900
19000730,30,Mon,1,30,31,10,07,July,3,Q3,1900
19000731,31,Tue,2,31,31,11,07,July,3,Q3,1900
19000801,01,Wed,3,1,31,1,08,August,3,Q3,1900
19000802,02,Thu,4,2,31,1,08,August,3,Q3,1900
19000803,03,Fri,5,3,31,1,08,August,3,Q3,1900
19000804,04,Sat,6,4,31,2,08,August,3,Q3,1900
19000805,05,Sun,0,5,31,2,08,August,3,Q3,1900
19000806,06,Mon,1,6,32,2,08,August,3,Q3,1900
19000807,07,Tue,2,7,32,3,08,August,3,Q3,1900
19000808,08,Wed,3,8,32,3,08,August,3,Q3,1900
19000809,09,Thu,4,9,32,3,08,August,3,Q3,1900
19000810,10,Fri,5,10,32,4,08,August,3,Q3,1900
19000811,11,Sat,6,11,32,4,08,August,3,Q3,1900
19000812,12,Sun,0,12,32,4,08,August,3,Q3,1900
19000813,13,Mon,1,13,33,5,08,August,3,Q3,1900
19000814,14,Tue,2,14,33,5,08,August,3,Q3,1900
19000815,15,Wed,3,15,33,5,08,August,3,Q3,1900
19000816,16,Thu,4,16,33,6,08,August,3,Q3,1900
19000817,17,Fri,5,17,33,6,08,August,3,Q3,1900
19000818,18,Sat,6,18,33,6,08,August,3,Q3,1900
19000819,19,Sun,0,19,33,7,08,August,3,Q3,1900
19000820,20,Mon,1,20,34,7,08,August,3,Q3,1900
19000821,21,Tue,2,21,34,7,08,August,3,Q3,1900
19000822,22,Wed,3,22,34,8,08,August,3,Q3,1900
19000823,23,Thu,4,23,34,8,08,August,3,Q3,1900
19000824,24,Fri,5,24,34,8,08,August,3,Q3,1900
19000825,25,Sat,6,25,34,9,08,August,3,Q3,1900
19000826,26,Sun,0,26,34,9,08,August,3,Q3,1900
19000827,27,Mon,1,27,35,9,08,August,3,Q3,1900
19000828,28,Tue,2,28,35,10,08,August,3,Q3,1900
19000829,29,Wed,3,29,35,10,08,August,3,Q3,1900
19000830,30,Thu,4,30,35,10,08,August,3,Q3,1900
19000831,31,Fri,5,31,35,11,08,August,3,Q3,1900
